n_bar,chi_IX_IX_fit,chi_XI_XI_fit
8.234114114114114,0.004028048106600883,0.004028047426820917
8.254124124124123,0.004034601401593983,0.004034600755337786
8.274134134134133,0.004041146932305743,0.0040411463196270364
8.294144144144143,0.004047684708247558,0.004047684129199021
8.314154154154153,0.004054214738916359,0.004054214193549631
8.334164164164163,0.004060737033794617,0.004060736522160295
8.354174174174172,0.004067251602350333,0.004067251124497978
8.374184184184184,0.004073758454037042,0.00407375801001518
8.394194194194194,0.004080257598293815,0.004080257188149941
8.414204204204204,0.004086749044545256,0.004086748668325837
8.434214214214213,0.004093232802201508,0.004093232459951978
8.454224224224223,0.004099708880658241,0.004099708572423016
8.474234234234233,0.004106177289296672,0.004106177015119134
8.494244244244243,0.004112638037483539,0.0041126377974060584
8.514254254254253,0.0041190911345711225,0.0041190909286350445
8.534264264264264,0.004125536589897238,0.004125536418142892
8.554274274274274,0.00413197441278523,0.004131974275251933
8.574284284284284,0.00413840461254398,0.004138404509270039
8.594294294294293,0.004144827198467909,0.004144827129490615
8.614304304304303,0.0041512421798369685,0.0041512421451926065
8.634314314314313,0.004157649565916643,0.004157649565640491
8.654324324324323,0.004164049365957954,0.004164049400084292
8.674334334334333,0.004170441589197459,0.004170441657759558
8.694344344344344,0.004176826244857246,0.004176826347887384
8.714354354354354,0.00418320334214494,0.004183203479674396
8.734364364364364,0.004189572890253702,0.00418957306231276
8.754374374374374,0.004195934898362227,0.004195935104980177
8.774384384384383,0.004202289375634742,0.004202289616839886
8.794394394394393,0.004208636331221011,0.004208636607040663
8.814404404404403,0.004214975774256333,0.004214976084716819
8.834414414414413,0.00422130771386154,0.004221308058988205
8.854424424424424,0.004227632159142998,0.004227632538960205
8.874434434434434,0.004233949119192611,0.004233949533723743
8.894444444444444,0.004240258603087816,0.0042402590523552795
8.914454454454454,0.004246560619891582,0.004246561103916808
8.934464464464464,0.004252855178652418,0.0042528556974558655
8.954474474474473,0.004259142288404363,0.004259142842005519
8.974484484484483,0.004265421958166992,0.004265422546584377
8.994494494494493,0.004271694196945414,0.004271694820196585
9.014504504504503,0.004277959013730276,0.00427795967183182
9.034514514514514,0.004284216417497754,0.004284217110465305
9.054524524524524,0.0042904664172095635,0.004290467145057788
9.074534534534534,0.0042967090218129535,0.004296709784555566
9.094544544544544,0.0043029442402407045,0.0043029450378904615
9.114554554554553,0.0043091720814111365,0.004309172913979845
9.134564564564563,0.004315392554228101,0.004315393421726615
9.154574574574573,0.0043216056675809845,0.004321606570019212
9.174584584584583,0.0043278114303447095,0.004327812367731609
9.194594594594594,0.00433400985137973,0.004334010823723321
9.214604604604604,0.004340200939532039,0.004340201946839395
9.234614614614614,0.004346384703633161,0.004346385745910419
9.254624624624624,0.004352561152500156,0.004352562229752514
9.274634634634634,0.004358730294935619,0.00435873140716734
9.294644644644643,0.0043648921397276795,0.004364893286942095
9.314654654654653,0.00437104669565,0.004371047877849512
9.334664664664663,0.00437719397146178,0.004377195188647861
9.354674674674675,0.004383333975907752,0.004383335228080949
9.374684684684684,0.004389466717718186,0.004389468004878118
9.394694694694694,0.004395592205608883,0.0043955935277542515
9.414704704704704,0.004401710448281179,0.0044017118054097675
9.434714714714714,0.004407821454421946,0.004407822846530618
9.454724724724723,0.0044139252327035925,0.004413926659788295
9.474734734734733,0.004420021791784059,0.004420023253839828
9.494744744744743,0.004426111140306816,0.004426112637327781
9.514754754754755,0.0044321932869008825,0.004432194818880256
9.534764764764764,0.004438268240180797,0.004438269807110892
9.554774774774774,0.004444336008746641,0.004444337610618863
9.574784784784784,0.004450396601184028,0.0044503982379888824
9.594794794794794,0.004456450026064107,0.004456451697791202
9.614804804804804,0.00446249629194356,0.004462497998581604
9.634814814814813,0.004468535407364609,0.004468537148901412
9.654824824824823,0.0044745673808550025,0.004474569157277487
9.674834834834833,0.004480592220928031,0.004480594032222225
9.694844844844845,0.004486609936082515,0.004486611782233561
9.714854854854854,0.0044926205348028115,0.004492622415794961
9.734864864864864,0.004498624025558809,0.004498625941375437
9.754874874874874,0.004504620416805934,0.00450462236742953
9.774884884884884,0.004510609716985151,0.004510611702397323
9.794894894894894,0.0045165919345229524,0.004516593954704432
9.814904904904903,0.004522567077831367,0.004522569132762011
9.834914914914913,0.00452853515530796,0.004528537244966752
9.854924924924925,0.0045344961753358325,0.004534498299700885
9.874934934934934,0.004540450146283614,0.004540452305332173
9.894944944944944,0.0045463970765054745,0.0045463992702139185
9.914954954954954,0.004552336974341119,0.004552339202684959
9.934964964964964,0.00455826984811578,0.004558272111069671
9.954974974974974,0.004564195706140236,0.004564198003677968
9.974984984984983,0.004570114556710789,0.004570116888805298
9.994994994994993,0.004576026408109283,0.004576028774732648
10.015005005005005,0.004581931268603091,0.00458193366972654
10.035015015015015,0.004587829146445127,0.004587831582039034
10.055025025025024,0.004593720049873834,0.004593722519907727
