n_bar,chi_XX_XX_fit,chi_II_XX_abs_fit
2.0110010010010004,0.0034133410074280134,0.04367670384757815
2.0310110110110107,0.003460400479499254,0.043966740367414575
2.0510210210210205,0.0035077631385256026,0.04425658475319897
2.0710310310310307,0.0035554283374600805,0.04454623687291539
2.0910410410410405,0.0036033954299440397,0.044835696595092074
2.1110510510510507,0.0036516637703071764,0.045124963788801487
2.1310610610610605,0.0037002327135675153,0.04541403832366025
2.1510710710710708,0.003749101615431426,0.04570292006982925
2.1710810810810806,0.00379826983229361,0.045991608898013486
2.191091091091091,0.003847736721237109,0.04628010467946223
2.2111011011011006,0.0038975016400332975,0.046568407285968935
2.231111111111111,0.003947563947141894,0.04685651658987125
2.2511211211211206,0.003997923001710947,0.04714443246405101
2.271131131131131,0.004048578163576846,0.04743215478193428
2.2911411411411406,0.004099528793264317,0.047719683417491304
2.311151151151151,0.004150774251986423,0.04800701824523654
2.3311611611611607,0.004202313901644562,0.04829415914022863
2.351171171171171,0.004254147104828473,0.04858110597807046
2.3711811811811807,0.0043062732248162275,0.048867858634909035
2.391191191191191,0.004358691625574239,0.049154416987435626
2.4112012012012007,0.004411401671757252,0.049440780912885715
2.431211211211211,0.004464402728708356,0.049726950289038944
2.4512212212212208,0.004517694162458967,0.05001292499421916
2.471231231231231,0.0045712753397288515,0.05029870490729441
2.491241241241241,0.0046251456279261,0.050584289907676966
2.511251251251251,0.004679304395147149,0.05086967987532328
2.531261261261261,0.0047337510101767635,0.05115487469073403
2.551271271271271,0.0047884848424880585,0.05143987423495407
2.571281281281281,0.004843505262242473,0.05172467838957243
2.5912912912912907,0.00489881164028979,0.052009287036722404
2.611301301301301,0.0049544033481681285,0.052293700059081426
2.6313113113113107,0.005010279758103943,0.05257791733987119
2.651321321321321,0.005066440243012028,0.052861938762857545
2.6713313313313307,0.0051228841764955095,0.053145764212350524
2.691341341341341,0.005179610932845858,0.05342939357320443
2.7113513513513507,0.005236619887042875,0.05371282673081772
2.731361361361361,0.005293910414754704,0.05399606357113303
2.7513713713713708,0.005351481892337819,0.05427910398063726
2.771381381381381,0.005409333696837038,0.05456194784636148
2.791391391391391,0.005467465205985511,0.05484459505588093
2.811401401401401,0.005525875798204729,0.05512704549731508
2.831411411411411,0.005584564852604517,0.0554092990593276
2.851421421421421,0.005643531748983037,0.055691355631126385
2.871431431431431,0.005702775867826791,0.05597321510246346
2.891441441441441,0.0057622965903106164,0.05625487736363513
2.911451451451451,0.005822093298297686,0.056536342305481845
2.931461461461461,0.0058821653743395125,0.056817609819388284
2.951471471471471,0.005942512201675943,0.057098679797283315
2.971481481481481,0.006003133164235164,0.05737955213164003
2.991491491491491,0.006064027646633698,0.057660226715475674
3.011501501501501,0.006125195034176405,0.05794070344235173
3.031511511511511,0.0061866347128564795,0.05822098220637386
3.0515215215215212,0.006248346069355457,0.05850106290219198
3.071531531531531,0.006310328491043207,0.05878094542500012
3.0915415415415413,0.006372581365977943,0.05906062967053657
3.111551551551551,0.0064351040829062,0.0593401155350838
3.1315615615615613,0.006497896031262868,0.059619402915468515
3.151571571571571,0.006560956601171161,0.05989849170906156
3.1715815815815813,0.00662428518344264,0.06017738181377804
3.191591591591591,0.006687881169577191,0.060456073128077194
3.2116016016016014,0.006751743951763052,0.060734565550962544
3.231611611611611,0.006815872922876784,0.06101285898198175
3.251621621621621,0.0068802674764832945,0.06129095332122669
3.271631631631631,0.006944927006835824,0.06156884846933347
3.291641641641641,0.007009850908875952,0.06184654432748232
3.311651651651651,0.007075038578233593,0.062124040797397785
3.331661661661661,0.007140489411226998,0.06240133778134851
3.3516716716716712,0.007206202804862757,0.06267843518214739
3.371681681681681,0.007272178156835798,0.06295533290315149
3.3916916916916913,0.007338414865529386,0.06323203084826211
3.411701701701701,0.007404912330015117,0.06350852892192475
3.4317117117117113,0.007471669950052934,0.06378482702912908
3.451721721721721,0.007538687126091108,0.06406092507540898
3.4717317317317313,0.007605963259266253,0.06433682296684257
3.491741741741741,0.007673497751403316,0.06461252061005208
3.5117517517517514,0.007741290005015582,0.06488801791220405
3.531761761761761,0.007809339423304678,0.06516331478100915
3.5517717717717714,0.007877645410160563,0.06543841112472228
3.571781781781781,0.00794620737016153,0.06571330685214251
3.5917917917917914,0.00801502470857422,0.06598800187261315
3.611801801801801,0.008084096831353598,0.06626249609602167
3.6318118118118115,0.008153423145142977,0.06653678943279977
3.6518218218218212,0.008223003057274,0.06681088179392337
3.6718318318318315,0.00829283597576665,0.06708477309091254
3.6918418418418413,0.008362921309329242,0.06735846323583156
3.7118518518518515,0.00843325846735844,0.06763195214128895
3.7318618618618613,0.008503846859939233,0.0679052397204374
3.7518718718718715,0.008574685897844957,0.0681783258869738
