condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
rates_10ba39339e235ff4,4.0,IX,1,local,-1.586718639907879e-09,0.004037933494542094
rates_10ba39339e235ff4,4.0,IY,1,local,-3.328369741407455e-10,0.00014289531534970417
rates_10ba39339e235ff4,4.0,IZ,1,local,-2.740508526842898e-10,0.00018217348967677452
rates_10ba39339e235ff4,4.0,XI,1,local,-5.3716589039060235e-09,0.004037933634670788
rates_10ba39339e235ff4,4.0,XX,2,correlated,0.07246481445258593,0.004438553411860596
rates_10ba39339e235ff4,4.0,XY,2,correlated,8.247363454111315e-09,0.00018210825415848142
rates_10ba39339e235ff4,4.0,XZ,2,correlated,3.1764822163278493e-09,0.0001428197423631597
rates_10ba39339e235ff4,4.0,YI,1,local,-6.393875614353567e-09,0.00014289228485544556
rates_10ba39339e235ff4,4.0,YX,2,correlated,1.520315712424609e-08,0.00018210802664375995
rates_10ba39339e235ff4,4.0,YY,2,correlated,7.970054896815478e-09,2.87187386371901e-09
rates_10ba39339e235ff4,4.0,YZ,2,correlated,-9.872741744552842e-09,0.0
rates_10ba39339e235ff4,4.0,ZI,1,local,3.7349418158175367e-10,0.00018217510739564427
rates_10ba39339e235ff4,4.0,ZX,2,correlated,1.5979958404627533e-09,0.00014282138265270434
rates_10ba39339e235ff4,4.0,ZY,2,correlated,-1.5968626320657364e-08,0.0
rates_10ba39339e235ff4,4.0,ZZ,2,correlated,-1.0680844323838485e-15,6.723483835652244e-09
rates_10c0db9943c7239f,0.01,IX,1,local,-1.1757289250970195e-08,0.000955931500364279
rates_10c0db9943c7239f,0.01,IY,1,local,-1.207507860504886e-09,2.453142047216002e-05
rates_10c0db9943c7239f,0.01,IZ,1,local,-5.694678937917568e-11,5.6734033261895506e-05
rates_10c0db9943c7239f,0.01,XI,1,local,-1.4081834141202975e-08,0.0009559335734375581
rates_10c0db9943c7239f,0.01,XX,2,correlated,0.013707398698519835,0.0006472939297345455
rates_10c0db9943c7239f,0.01,XY,2,correlated,1.7594156125683776e-09,5.6708140782169695e-05
rates_10c0db9943c7239f,0.01,XZ,2,correlated,1.6709505227583408e-09,2.452465709277996e-05
rates_10c0db9943c7239f,0.01,YI,1,local,-1.0753269651780586e-09,2.4533139793148442e-05
rates_10c0db9943c7239f,0.01,YX,2,correlated,-3.44455920900491e-09,5.6707692151324995e-05
rates_10c0db9943c7239f,0.01,YY,2,correlated,3.667387105802027e-09,2.093722222449741e-09
rates_10c0db9943c7239f,0.01,YZ,2,correlated,-1.491027372244644e-09,4.65655851020807e-10
rates_10c0db9943c7239f,0.01,ZI,1,local,-1.541327172441473e-10,5.673434810945191e-05
rates_10c0db9943c7239f,0.01,ZX,2,correlated,1.6516333586204243e-09,2.452307155513566e-05
rates_10c0db9943c7239f,0.01,ZY,2,correlated,2.5916241595221176e-09,0.0
rates_10c0db9943c7239f,0.01,ZZ,2,correlated,-2.2660493117724547e-17,2.6847928919653853e-09
rates_10c0db9943c7239f,1.0,IX,1,local,1.029513378040188e-08,0.0027074729914515453
rates_10c0db9943c7239f,1.0,IY,1,local,-2.9773429681825653e-09,3.201539190682718e-05
rates_10c0db9943c7239f,1.0,IZ,1,local,-2.4839616245508167e-10,4.925333057877359e-05
rates_10c0db9943c7239f,1.0,XI,1,local,1.0115313247341264e-08,0.0027074743447870362
rates_10c0db9943c7239f,1.0,XX,2,correlated,0.028683201203189453,0.001094441833833498
rates_10c0db9943c7239f,1.0,XY,2,correlated,-9.74400154516121e-10,4.922789742948116e-05
rates_10c0db9943c7239f,1.0,XZ,2,correlated,-1.3295660426180838e-09,3.200000917913924e-05
rates_10c0db9943c7239f,1.0,YI,1,local,-3.835342878944557e-09,3.20164601358678e-05
rates_10c0db9943c7239f,1.0,YX,2,correlated,-1.7842859181856261e-09,4.9228168591138564e-05
rates_10c0db9943c7239f,1.0,YY,2,correlated,-2.185205009716919e-09,2.381271485102231e-09
rates_10c0db9943c7239f,1.0,YZ,2,correlated,2.5343104684402665e-09,8.131008892816853e-10
rates_10c0db9943c7239f,1.0,ZI,1,local,9.474266584969808e-11,4.92533755004542e-05
rates_10c0db9943c7239f,1.0,ZX,2,correlated,-8.93158448233393e-10,3.1998624868265517e-05
rates_10c0db9943c7239f,1.0,ZY,2,correlated,2.788993191058468e-09,2.2959715357227795e-10
rates_10c0db9943c7239f,1.0,ZZ,2,correlated,-7.728890956326493e-17,6.686553079022356e-09
rates_10c0db9943c7239f,2.0,IX,1,local,2.0710018597626873e-08,0.00437740977235066
rates_10c0db9943c7239f,2.0,IY,1,local,-6.939729007267665e-10,3.4044130479577556e-05
rates_10c0db9943c7239f,2.0,IZ,1,local,4.47392809373606e-10,4.722786432049099e-05
rates_10c0db9943c7239f,2.0,XI,1,local,2.0989773546938146e-08,0.004377402247313096
rates_10c0db9943c7239f,2.0,XX,2,correlated,0.043465200570782285,0.001966691147835863
rates_10c0db9943c7239f,2.0,XY,2,correlated,2.9721854829102253e-09,4.72088893980104e-05
rates_10c0db9943c7239f,2.0,XZ,2,correlated,-4.498036435997967e-09,3.4016495720596293e-05
rates_10c0db9943c7239f,2.0,YI,1,local,7.943533342369706e-09,3.403647288450008e-05
rates_10c0db9943c7239f,2.0,YX,2,correlated,3.936052947066788e-10,4.720787818023953e-05
rates_10c0db9943c7239f,2.0,YY,2,correlated,-9.504323951655418e-09,3.085036996624421e-09
rates_10c0db9943c7239f,2.0,YZ,2,correlated,-6.205805356589651e-09,0.0
rates_10c0db9943c7239f,2.0,ZI,1,local,7.579436804648224e-11,4.722828133221616e-05
rates_10c0db9943c7239f,2.0,ZX,2,correlated,-4.6507851316064115e-09,3.402474752320263e-05
rates_10c0db9943c7239f,2.0,ZY,2,correlated,-1.4167461922561398e-10,2.7339704961742983e-09
rates_10c0db9943c7239f,2.0,ZZ,2,correlated,3.389668945057834e-16,2.0398719649192265e-09
rates_10c0db9943c7239f,3.0,IX,1,local,1.5603662159964545e-08,0.005954709504557692
rates_10c0db9943c7239f,3.0,IY,1,local,-9.306071962429894e-09,3.506246966840322e-05
rates_10c0db9943c7239f,3.0,IZ,1,local,2.7757145413056346e-10,4.6264710480509626e-05
rates_10c0db9943c7239f,3.0,XI,1,local,1.3636013150522858e-08,0.005954661368275559
rates_10c0db9943c7239f,3.0,XX,2,correlated,0.05790518722405046,0.003210619464478273
rates_10c0db9943c7239f,3.0,XY,2,correlated,3.994104911087702e-09,4.614685576233247e-05
rates_10c0db9943c7239f,3.0,XZ,2,correlated,-4.255784476607e-09,3.500126845076104e-05
rates_10c0db9943c7239f,3.0,YI,1,local,2.154368930154095e-08,3.5010528388851253e-05
rates_10c0db9943c7239f,3.0,YX,2,correlated,2.3897296184369897e-08,4.614138407246543e-05
rates_10c0db9943c7239f,3.0,YY,2,correlated,-7.825971827916199e-09,2.4691218171298083e-09
rates_10c0db9943c7239f,3.0,YZ,2,correlated,3.766858323553801e-09,1.7320188414684524e-09
rates_10c0db9943c7239f,3.0,ZI,1,local,2.2439791252492374e-09,4.626896000701591e-05
rates_10c0db9943c7239f,3.0,ZX,2,correlated,-1.515956311285832e-09,3.505443085304689e-05
rates_10c0db9943c7239f,3.0,ZY,2,correlated,7.731442646702194e-09,2.7807721773536243e-08
