condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_10ba39339e235ff4,3.0,0.0,36.0,0.0,8.0,0.011111644338947358,0.057385545550061666,0.006213320331187988,0.3337111019980198,0.3292896490829451,0.04777043938449363,0.025483557926162338,4.845313551816929e-15,1.8573591505863737e-15,0.025483557917899316,1.0,1.2383449992488534e-07,1.1102248655536808e-16,6.9934401497056455e-16
rates_10ba39339e235ff4,4.0,0.0,36.0,0.0,8.0,0.015047468073111149,0.07101351028052086,0.009572318002893827,0.4158716458156124,0.40992289357481876,0.06240041140782511,0.03191607389338673,4.904805681519508e-15,2.293021113442471e-15,0.03191607389073462,1.0,3.3013142219280696e-07,2.4904284305874676e-16,6.234217692588226e-16
rates_10c0db9943c7239f,0.01,0.0,72.0,0.0,2.0,0.002451457600712548,0.013689644517848149,0.0008353395348697425,0.07898641604617906,0.07754075657728708,0.01301092606488785,0.007549886898227331,4.024711748520437e-15,4.162251535843763e-15,0.007549886894071034,4.0,-3.10805709631954e-12,1.1102427424656304e-16,6.588707684566532e-12
rates_10c0db9943c7239f,1.0,0.0,72.0,0.0,2.0,0.006083871809338426,0.02856566867901012,0.0019246514178803892,0.1667135214469397,0.1622566886153326,0.03164334954828127,0.021560697163855686,5.570302526046208e-15,2.8264450716659095e-15,0.021560697162131378,5.0,-7.681889874634991e-13,1.5702445328400258e-16,1.637858274378101e-12
rates_10c0db9943c7239f,2.0,0.0,72.0,0.0,2.0,0.01023279960665855,0.04306324466475165,0.003865137371705003,0.25357885403565344,0.2458763045539408,0.05126091398955015,0.03491986211153969,7.279614332224105e-15,2.4021864654736955e-15,0.03491986210982433,5.0,-5.881776431168798e-13,1.1105146747086986e-16,1.2159262068057372e-12
rates_10c0db9943c7239f,3.0,0.0,72.0,0.0,2.0,0.014803732168651962,0.05700391940088286,0.006552749975082969,0.3386337124555355,0.3275612044161061,0.07153030936504319,0.04753802073108823,4.99894585540239e-15,3.60471041209137e-15,0.04753802072046191,6.0,-8.870537976691871e-13,1.573430861644899e-16,1.9045809951095625e-12
rates_10c0db9943c7239f,4.0,0.0,72.0,0.0,2.0,0.019746319599988207,0.07037070834191608,0.009900135324604865,0.4218965418699649,0.40732346264731756,0.09244152513511433,0.05948826144314816,5.05124209332235e-15,1.441185971997078e-15,0.05948826144239188,4.0,-4.331853048442003e-12,1.110369595510635e-16,8.987065605942228e-12
rates_14c3539000a4de2d,0.01,0.0,0.0,13.333333333333334,0.0,0.0013142602119575741,0.013715271625918592,0.00019093695850425205,0.07795933302331767,0.07770753071478888,0.00619258107203849,0.0009215287933219185,5.139685681605554e-15,2.2870536462525373e-15,0.0009215287288568731,1.0,2.1646760041660652e-07,1.4869816608234893e-18,1.1180971219005638e-15
rates_14c3539000a4de2d,1.0,0.0,0.0,13.333333333333334,0.0,0.0023659892272531735,0.028749138371337437,0.0012885760715218924,0.16339397144262285,0.163139217806433,0.008984162870066023,0.0015717298820051636,5.080821066762274e-15,2.815798824842615e-15,0.0015717298370902773,1.0,3.1790701650955146e-07,1.1116389041313206e-16,6.029985843741532e-16
rates_14c3539000a4de2d,2.0,0.0,0.0,13.333333333333334,0.0,0.0040877097143313,0.04357087413759485,0.003242228455790797,0.24832002634598468,0.24790846457294047,0.014103657464891848,0.002305541947285071,4.09756546175707e-15,2.372302342943933e-15,0.0023055418818403043,1.0,3.211465217123243e-07,2.484624042661558e-16,6.168481413028769e-16
rates_14c3539000a4de2d,3.0,0.0,0.0,13.333333333333334,0.0,0.006409149182245244,0.05797682954692263,0.005968845085246516,0.3317929866460334,0.33108972304932893,0.02138427306580979,0.002982305158825623,5.7610094197679836e-15,3.137508095622551e-15,0.0029823050643653574,1.0,1.7618839582716478e-07,2.484740817182823e-16,8.442931602910457e-16
rates_14c3539000a4de2d,4.0,0.0,0.0,13.333333333333334,0.0,0.009276350063285399,0.07192261257228127,0.009394090203924248,0.41376754822896106,0.4126187413747726,0.03059990131476369,0.0036061438172601255,4.04982243475093e-15,2.8080854771097622e-15,0.0036061437537679196,1.0,1.775058885527892e-07,1.5829628468573762e-16,8.602463051998078e-16
rates_15e2db7947d1c0fd,0.01,40.0,18.0,0.0,0.0,0.0022876494409696416,0.013776073601654608,0.00035735323335245615,0.0795349562359537,0.0778380168306045,0.012878900534220354,0.010059141134473745,5.296451277977366e-15,1.673057034989471e-15,0.01005914113339567,26.0,-8.360159085237214e-12,3.518834134111283e-18,2.611479187976111e-12
rates_15e2db7947d1c0fd,1.0,40.0,18.0,0.0,0.0,0.00396173905943007,0.028731016118455046,0.001450524609754472,0.16485562448209226,0.16308950940406175,0.01949935620808886,0.014105458276607547,5.9766481712719595e-15,2.981344469239686e-15,0.014105458275679442,21.0,-7.936516922764842e-12,1.5735624878030704e-16,2.6135754563336513e-12
rates_15e2db7947d1c0fd,2.0,40.0,18.0,0.0,0.0,0.006274962402429818,0.04344154860529167,0.0033922496208569,0.24976852372713312,0.2475744080278896,0.027720958102489042,0.017965979415315414,5.7112421263521554e-15,1.675007726606413e-15,0.017965979412833625,33.0,-9.63387146347401e-12,1.1148244847743652e-16,3.1372833653377344e-12
rates_15e2db7947d1c0fd,3.0,40.0,18.0,0.0,0.0,0.009149423034142146,0.05770499741663798,0.00609526912421297,0.3332118462137993,0.33038691866063935,0.03752577851744373,0.021597091975460538,4.2618797392439334e-15,1.858659583042695e-15,0.021597091972399514,25.0,-8.649721448190528e-12,1.5793300499355603e-16,3.15961474604226e-12
rates_15e2db7947d1c0fd,4.0,40.0,18.0,0.0,0.0,0.012531047327438573,0.07148282808673262,0.009483555875499858,0.4151334473929723,0.4114835085818631,0.04889299199702359,0.025031513000861764,6.0547328162714355e-15,1.6573931664922378e-15,0.025031513000459124,22.0,-8.616366228551736e-12,3.332165920706306e-16,3.4980531514002365e-12
rates_17830da3b3822d7d,0.01,5.0,72.0,0.0,0.0,0.002366728546639152,0.013704017608371782,0.0008362775427291021,0.07909099197892223,0.0775638724744274,0.01290588032163468,0.00852460861883658,5.484112066610401e-15,2.7333240737556146e-15,0.008524608616635546,20.0,-7.590666938165118e-12,1.5704238313551714e-16,3.048447039369322e-12
rates_17830da3b3822d7d,1.0,5.0,72.0,0.0,0.0,0.005995088079765676,0.02858417935498006,0.0019270777185674002,0.1668476792249566,0.1622803354194519,0.03156191812479655,0.02251857284971319,6.2544931615796875e-15,2.0518001877960405e-15,0.022518572849038323,26.0,-7.518602084830326e-12,1.1113570826430155e-16,2.5728949239559446e-12
rates_17830da3b3822d7d,2.0,5.0,72.0,0.0,0.0,0.010140259952455289,0.04308404736660567,0.0038690011964912624,0.25371312247635164,0.24590119276120703,0.051156531234495,0.03586030155157631,5.891518184472748e-15,1.9557934718060725e-15,0.03586030154889344,27.0,-7.347280349901969e-12,1.1148472336019767e-16,2.406261563591341e-12
rates_17830da3b3822d7d,3.0,5.0,72.0,0.0,0.0,0.01470776162546974,0.05702666506088395,0.006558083181374441,0.338761905164956,0.3275875613102345,0.07139676199683373,0.048461535697617145,5.25547783401375e-15,1.5900883099784817e-15,0.04846153569636342,24.0,-7.265759381752737e-12,1.1119292906642535e-16,2.7445232341919722e-12
