pair_id,source_i,source_j,epsilon_multiplier,condition_id,single_i_condition_id,single_j_condition_id,zero_condition_id,nbar,pair_infidelity,single_i_infidelity,single_j_infidelity,zero_infidelity,interaction_infidelity,kappa_multiplier,kappa_physical_s2
motional_heating__photon_scattering,motional_heating,photon_scattering,0.25,rates_8918455988c8e258,rates_19f143240f6c0d42,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,3.0,0.005581086542263192,0.005442035739808615,0.005489459809088104,0.0053504253160057,1.6309372172229608e-08,2.6094995475567373e-07,6.5237488688918436e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.125,rates_65da2bd2517a5c79,rates_73659cb088efe49c,rates_7e6b386b306245c2,rates_7283b228c09abbcb,3.0,0.0054657605872996395,0.005396216920752983,0.005419958462961616,0.0053504253160057,1.0519590740165619e-08,6.732538073705996e-07,1.683134518426499e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.5,rates_e6d1576ac61ecf0f,rates_d40c9e1dbffac54a,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,4.0,0.008677710365788682,0.0084007493446396,0.0084985172100573,0.0082214370008468,-1.1918806141868188e-07,-4.767522456747275e-07,-1.1918806141868189e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.25,rates_8918455988c8e258,rates_19f143240f6c0d42,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,4.0,0.008449627737949883,0.008311116146643038,0.008359976037378702,0.0082214370008468,-2.7445225057876055e-08,-4.391236009260169e-07,-1.0978090023150423e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.125,rates_65da2bd2517a5c79,rates_73659cb088efe49c,rates_7e6b386b306245c2,rates_7283b228c09abbcb,4.0,0.008335542968467835,0.008266264438300697,0.008290709503302018,0.0082214370008468,6.027711919875944e-09,3.8577356287206044e-07,9.644339071801511e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.5,rates_7f6d8a2c30c891ba,rates_d40c9e1dbffac54a,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,0.01,0.0005770712510895226,0.0004438274759339,0.0003820584352766,0.0002487641440845,-5.051603647735804e-08,-2.0206414590943217e-07,-6.061924377282965e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.25,rates_f3dafc52d87fad36,rates_19f143240f6c0d42,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,0.01,0.0004129338170308916,0.0003463016960079113,0.0003154006888763661,0.0002487641440845,-4.423768885767915e-09,-7.078030217228665e-08,-2.1234090651685993e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.125,rates_317cc5aa69ec700d,rates_73659cb088efe49c,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,0.01,0.00033086518774361195,0.0002975328235125252,0.0002820905293446918,0.0002487641440845,5.978970894933693e-09,3.8265413727575637e-07,1.147962411827269e-08
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.5,rates_7f6d8a2c30c891ba,rates_d40c9e1dbffac54a,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,1.0,0.001626110195702024,0.0014930351155408,0.0014349793142726,0.0013018788028587,-2.5431252675999286e-08,-1.0172501070399714e-07,-3.051750321119914e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.25,rates_f3dafc52d87fad36,rates_19f143240f6c0d42,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,1.0,0.0014640074914143986,0.0013974596514891857,0.0013684329143138774,0.0013018788028587,-6.271529964622935e-09,-1.0034447943396696e-07,-3.0103343830190086e-09
