nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
0.01,correlated_gamma_XX,2.0,4.0,8.0,-7.078842300333335e-08,-6.937630160316612e-08,-1.4121214001672314e-09,-6.914311142194192e-08,-1.6453115813914265e-09,-0.010037464095972028,-0.011694997273568429
0.01,correlated_gamma_XX,4.0,4.0,16.0,-1.4068507609744844e-07,-1.3875260320633224e-07,-1.9324728911162065e-09,-1.3622291034535045e-07,-4.462165752097991e-09,-0.013736161252652264,-0.0317174065357663
0.01,local_gamma_X,0.5,0.5,0.25,3.129687132513042e-08,2.9452350131037605e-08,1.844521194092816e-09,2.9452094798646397e-08,1.8447765264840245e-09,0.0009811387381903746,0.000981274554737743
0.01,local_gamma_X,1.0,0.5,0.5,5.715526696473431e-08,5.890470026207521e-08,-1.7494332973408977e-09,5.890566934297666e-08,-1.7504023782423458e-09,-0.0009305595313289222,-0.0009310750053803434
0.01,local_gamma_X,2.0,0.5,1.0,1.2232171243663497e-07,1.1780940052415042e-07,4.512311912484544e-09,1.1779938568289647e-07,4.522326753738499e-09,0.0024001914590707084,0.0024055185589937403
0.01,local_gamma_X,4.0,0.5,2.0,2.4132635245458184e-07,2.3561880104830084e-07,5.707551406280994e-09,2.3556779095334176e-07,5.7585615012400724e-09,0.0030359639145645114,0.0030630972326111693
0.01,local_gamma_X,0.5,1.0,0.5,5.479107635634096e-08,5.890470026207521e-08,-4.1136239057342515e-09,5.890697896247999e-08,-4.115902606139031e-09,-0.0021881211130495536,-0.002189333200634678
0.01,local_gamma_X,1.0,1.0,1.0,1.2153730300000585e-07,1.1780940052415042e-07,3.7279024758554275e-09,1.17801126638783e-07,3.736176361222843e-09,0.0019829479558007824,0.001987349005501548
0.01,local_gamma_X,2.0,1.0,2.0,2.4071422612416383e-07,2.3561880104830084e-07,5.095425075862984e-09,2.3557326170954156e-07,5.140964414622265e-09,0.0027103613368533825,0.002734584647223248
0.01,local_gamma_X,4.0,1.0,4.0,4.827330679729963e-07,4.712376020966017e-07,1.1495465876394634e-08,4.708153264093643e-07,1.1917741563632003e-08,0.006114674594684435,0.006339291712813194
0.01,local_gamma_X,0.5,2.0,1.0,1.0763010578100575e-07,1.1780940052415042e-07,-1.017929474314467e-08,1.178319929386171e-07,-1.0201887157611353e-08,-0.00541457611435519,-0.005426593484008357
0.01,local_gamma_X,1.0,2.0,2.0,2.3588055036673954e-07,2.3561880104830084e-07,2.617493184386967e-10,2.356164617163109e-07,2.6408865042864256e-10,0.00013922984286523233,0.00014047418163681943
0.01,local_gamma_X,2.0,2.0,4.0,4.6872917684577194e-07,4.712376020966017e-07,-2.5084252508297407e-09,4.7132974686116077e-07,-2.6005700153888283e-09,-0.0013342829528475036,-0.0013832966471980404
0.01,local_gamma_X,4.0,2.0,8.0,9.455577942167928e-07,9.424752041932034e-07,3.0825900235894145e-09,9.419661617509915e-07,3.5916324658012965e-09,0.0016396929977214268,0.0019104631363550202
0.01,local_gamma_X,0.5,4.0,2.0,2.3356311810971453e-07,2.3561880104830084e-07,-2.0556829385863164e-09,2.3563717330190642e-07,-2.0740551921918918e-09,-0.001093460010621363,-0.0011032325899649976
0.01,local_gamma_X,1.0,4.0,4.0,4.686595884970709e-07,4.712376020966017e-07,-2.578013599530773e-09,4.7133230312709096e-07,-2.672714630020044e-09,-0.0013712984259447712,-0.0014216718506888926
0.01,local_gamma_X,2.0,4.0,8.0,9.444278638270334e-07,9.424752041932034e-07,1.952659633830041e-09,9.421527524168702e-07,2.2751114101632022e-09,0.0010386597971261268,0.0012101785251146992
0.01,local_gamma_X,4.0,4.0,16.0,1.8799799888595526e-06,1.8849504083864067e-06,-4.970419526854184e-09,1.8914569083486934e-06,-1.1476919489140816e-08,-0.0026438683157842427,-0.006104809390073897
