context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZY",1.0696244029045703e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZZ",-1.9800623394974497e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"ZI,ZX",3.9152310663752457e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"ZI,ZY",-4.29611326434616e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"ZI,ZZ",-6.779079835876902e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"ZX,ZY",-1.6917841314595876e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"ZX,ZZ",1.2659425949383008e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"ZY,ZZ",-8.906008082940184e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,IX,-4.756730776436916e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,IY,-2.5581850365256955e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,IZ,-4.3452971728464806e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,XI,4.092345285812303e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,XX,-8.215065135471236e-06
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,XY,-2.9080737958104616e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,XZ,1.4316359246788949e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,YI,3.261326209239768e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,YX,-4.730873667844895e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,YY,2.9104989250399035e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,YZ,5.010015008555282e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,ZI,-8.854395598779099e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,ZX,1.5557490530297275e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,ZY,7.696913405981798e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,ZZ,-1.805503493001364e-15
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,IX,0.00022170394046858497
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,IY,5.922361396865777e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,IZ,6.941295289611014e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,XI,0.00022170242619642217
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,XX,0.00016131211799942218
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,XY,-4.884396042058878e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,XZ,5.328117907001193e-10
