noise_source,noise_title,nominal_rate_s^-1,nbar,pauli,pauli_weight,mode_class,delta_h_rad_per_gate,delta_gamma_per_gate,dh_drate_s,dgamma_drate_s
motional_heating,Motional heating/diffusion,10.0,0.01,ZX,2,weight2,1.0923056268282199e-09,2.9634463402432775e-09,1.0923056268282199e-10,2.9634463402432775e-10
motional_heating,Motional heating/diffusion,10.0,0.01,ZY,2,weight2,4.291947494622979e-09,-2.054559605292763e-09,4.2919474946229787e-10,-2.054559605292763e-10
motional_heating,Motional heating/diffusion,10.0,0.01,ZZ,2,weight2,-1.372883789836238e-15,-2.2890822989213615e-09,-1.372883789836238e-16,-2.2890822989213615e-10
motional_heating,Motional heating/diffusion,10.0,1.0,IX,1,local,-5.903442635712758e-09,0.00023911095523645892,-5.903442635712758e-10,2.3911095523645894e-05
motional_heating,Motional heating/diffusion,10.0,1.0,IY,1,local,1.4460511828539039e-09,-1.4050172225617058e-09,1.4460511828539038e-10,-1.4050172225617058e-10
motional_heating,Motional heating/diffusion,10.0,1.0,IZ,1,local,-3.0258959690135435e-10,-2.441600703364391e-09,-3.0258959690135436e-11,-2.441600703364391e-10
motional_heating,Motional heating/diffusion,10.0,1.0,XI,1,local,-7.744301784543262e-09,0.00023911633312330375,-7.744301784543261e-10,2.3911633312330375e-05
motional_heating,Motional heating/diffusion,10.0,1.0,XX,2,weight2,7.963541275391416e-06,3.4773462941326104e-07,7.963541275391416e-07,3.47734629413261e-08
motional_heating,Motional heating/diffusion,10.0,1.0,XY,2,weight2,2.508632278708167e-09,-3.252900286785087e-09,2.508632278708167e-10,-3.252900286785087e-10
motional_heating,Motional heating/diffusion,10.0,1.0,XZ,2,weight2,2.2071643559875566e-09,4.787495553498863e-10,2.2071643559875565e-10,4.7874955534988634e-11
motional_heating,Motional heating/diffusion,10.0,1.0,YI,1,local,-1.1679434198794127e-09,1.3421305492439482e-09,-1.1679434198794126e-10,1.3421305492439482e-10
motional_heating,Motional heating/diffusion,10.0,1.0,YX,2,weight2,8.355272305034255e-10,-3.6849528232549296e-09,8.355272305034255e-11,-3.6849528232549296e-10
motional_heating,Motional heating/diffusion,10.0,1.0,YY,2,weight2,5.3254921313211015e-09,-3.560980824867349e-11,5.325492131321102e-10,-3.560980824867349e-12
motional_heating,Motional heating/diffusion,10.0,1.0,YZ,2,weight2,-8.200842005421333e-10,1.305428640096644e-10,-8.200842005421333e-11,1.3054286400966441e-11
motional_heating,Motional heating/diffusion,10.0,1.0,ZI,1,local,-2.7900923866272013e-11,-2.9085694981022287e-09,-2.7900923866272013e-12,-2.908569498102229e-10
motional_heating,Motional heating/diffusion,10.0,1.0,ZX,2,weight2,2.3963500585731794e-09,8.855578509250422e-11,2.3963500585731795e-10,8.855578509250421e-12
motional_heating,Motional heating/diffusion,10.0,1.0,ZY,2,weight2,-2.0423209260985475e-09,-3.6304982830666003e-10,-2.0423209260985475e-10,-3.6304982830666e-11
motional_heating,Motional heating/diffusion,10.0,1.0,ZZ,2,weight2,-7.954591289155724e-17,-6.690418621956664e-11,-7.954591289155724e-18,-6.690418621956664e-12
motional_heating,Motional heating/diffusion,10.0,2.0,IX,1,local,-6.976793431446771e-09,0.00023447857710676934,-6.976793431446771e-10,2.3447857710676935e-05
motional_heating,Motional heating/diffusion,10.0,2.0,IY,1,local,-1.2474314445911766e-10,1.5256817373593239e-09,-1.2474314445911766e-11,1.5256817373593238e-10
motional_heating,Motional heating/diffusion,10.0,2.0,IZ,1,local,4.131378327452136e-10,-8.823939534695364e-10,4.131378327452136e-11,-8.823939534695363e-11
