noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate,coefficient_per_rate_s
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZZ",-5.60199598337483e-10,-3.1122199907637945e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,XZ",-1.3404620370745866e-09,-7.447011317081036e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YI",1.7157043334809578e-09,9.531690741560877e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YX",-3.831359139227944e-09,-2.1285328551266353e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YY",6.020617705395248e-10,3.3447876141084714e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YZ",1.815502068430192e-09,1.0086122602389956e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZI",-1.2916159396110442e-09,-7.175644108950245e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZX",2.363084131650079e-09,1.3128245175833772e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZY",1.6944108087221034e-09,9.413393381789464e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZZ",-4.274862944889988e-09,-2.3749238582722156e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YI",9.320976464121851e-11,5.178320257845473e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YX",7.93688680803259e-10,4.4093815600181054e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YY",1.10673119116218e-09,6.148506617567666e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YZ",-1.115529745394969e-09,-6.197387474416494e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZI",-4.059658457525048e-10,-2.255365809736138e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZX",-9.166925563433939e-10,-5.0927364241299663e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZY",-1.7097041577295068e-09,-9.498356431830593e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZZ",1.325844683402513e-09,7.365803796680628e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,YX",1.3790701790813897e-12,7.66150099489661e-14
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,YY",3.582678935903484e-10,1.9903771866130466e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,YZ",-4.3825672596635177e-10,-2.4347595887019543e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZI",-7.768116833269336e-10,-4.315620462927409e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZX",-8.055438193592665e-10,-4.4752434408848135e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZY",-6.133860060809243e-10,-3.407700033782913e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZZ",6.819652047227812e-10,3.7886955817932285e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,YY",3.585100699414198e-10,1.9917226107856654e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,YZ",1.2687051901506674e-09,7.048362167503708e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZI",-4.891488644463096e-10,-2.7174936913683866e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZX",-1.3725661859244924e-09,-7.625367699580514e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZY",1.207518908570687e-09,6.708438380948261e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZZ",-2.7651153082170784e-09,-1.5361751712317103e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,YZ",-1.9358237386861015e-09,-1.0754576326033898e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZI",-2.878933215380071e-10,-1.599407341877817e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZX",-3.504222305625158e-10,-1.9467901697917546e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZY",-3.526033457937204e-09,-1.95890747663178e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZZ",1.496909875899424e-09,8.316165977219022e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZI",3.1076103636150664e-10,1.72645020200837e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZX",5.286817460604068e-10,2.937120811446704e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZY",1.0696244029045703e-09,5.94235779391428e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZZ",-1.9800623394974497e-09,-1.1000346330541387e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"ZI,ZX",3.9152310663752457e-10,2.17512837020847e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"ZI,ZY",-4.29611326434616e-10,-2.386729591303422e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"ZI,ZZ",-6.779079835876902e-10,-3.766155464376057e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"ZX,ZY",-1.6917841314595876e-09,-9.398800730331043e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"ZX,ZZ",1.2659425949383008e-09,7.033014416323893e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"ZY,ZZ",-8.906008082940184e-10,-4.947782268300102e-11
motional_dephasing,Motional dephasing,18.0,0.01,H,IX,-4.756730776436916e-09,-2.64262820913162e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,IY,-2.5581850365256955e-09,-1.4212139091809418e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,IZ,-4.3452971728464806e-11,-2.4140539849147113e-12
motional_dephasing,Motional dephasing,18.0,0.01,H,XI,4.092345285812303e-09,2.2735251587846127e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,XX,-8.215065135471236e-06,-4.5639250752617974e-07
motional_dephasing,Motional dephasing,18.0,0.01,H,XY,-2.9080737958104616e-09,-1.6155965532280343e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,XZ,1.4316359246788949e-09,7.953532914882749e-11
motional_dephasing,Motional dephasing,18.0,0.01,H,YI,3.261326209239768e-09,1.8118478940220932e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,YX,-4.730873667844895e-09,-2.6282631488027195e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,YY,2.9104989250399035e-09,1.6169438472443908e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,YZ,5.010015008555282e-09,2.783341671419601e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,ZI,-8.854395598779099e-11,-4.919108665988388e-12
motional_dephasing,Motional dephasing,18.0,0.01,H,ZX,1.5557490530297275e-09,8.643050294609597e-11
motional_dephasing,Motional dephasing,18.0,0.01,H,ZY,7.696913405981798e-09,4.276063003323221e-10
motional_dephasing,Motional dephasing,18.0,0.01,H,ZZ,-1.805503493001364e-15,-1.003057496111869e-16
motional_dephasing,Motional dephasing,18.0,0.01,S,IX,0.00022170394046858497,1.2316885581588054e-05
motional_dephasing,Motional dephasing,18.0,0.01,S,IY,5.922361396865777e-10,3.290200776036543e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,IZ,6.941295289611014e-10,3.856275160895008e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,XI,0.00022170242619642217,1.2316801455356787e-05
motional_dephasing,Motional dephasing,18.0,0.01,S,XX,0.00016131211799942218,8.961784333301233e-06
motional_dephasing,Motional dephasing,18.0,0.01,S,XY,-4.884396042058878e-10,-2.7135533566993768e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,XZ,5.328117907001193e-10,2.9600655038895515e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,YI,-8.641661090056166e-12,-4.800922827808981e-13
motional_dephasing,Motional dephasing,18.0,0.01,S,YX,4.5501055092494243e-10,2.527836394027458e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,YY,3.3939462275610127e-09,1.8855256819783404e-10
motional_dephasing,Motional dephasing,18.0,0.01,S,YZ,1.5883849100508394e-09,8.824360611393552e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,ZI,1.411390371389772e-09,7.841057618832067e-11
motional_dephasing,Motional dephasing,18.0,0.01,S,ZX,7.869780865913761e-10,4.372100481063201e-11
