noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,YI,1,local,1.0393045565624239e-09,9.543045342885296e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,YX,2,correlated,-1.4440639333538383e-09,0.00015040063757248176
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,YY,2,correlated,4.2819155178306047e-10,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,YZ,2,correlated,4.4700282260349494e-10,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,ZI,1,local,-1.7050086520761857e-10,0.000150412931033508
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,ZX,2,correlated,1.7104513271295708e-10,9.541888378816156e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,ZY,2,correlated,2.9284424328239757e-09,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,ZZ,2,correlated,5.554069068827244e-17,1.128253057417584e-08
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,IX,1,local,3.413537573299013e-08,0.0010484740310881548
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,IY,1,local,-5.485088091641954e-09,0.00010195459197463466
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,IZ,1,local,-4.4842442225223365e-10,0.0001438803576500318
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XI,1,local,3.9278508768745655e-08,0.0010484703730494812
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XX,2,correlated,0.04378607400956264,0.0014096330038982422
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XY,2,correlated,-4.457429891665144e-09,0.00014388413279541046
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XZ,2,correlated,-1.152539721112977e-09,0.00010194545443083312
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,YI,1,local,-3.653827219502115e-10,0.0001019514438988207
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,YX,2,correlated,-4.24098111907864e-09,0.00014388487290685394
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,YY,2,correlated,-1.2714835767424576e-09,1.5176831709776128e-09
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,YZ,2,correlated,2.7740311164717473e-09,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,ZI,1,local,1.2788978431709174e-10,0.00014388045189080417
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,ZX,2,correlated,3.6424110329922444e-11,0.00010194776815335225
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,ZY,2,correlated,4.6282333321859914e-09,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,ZZ,2,correlated,-6.53137060958025e-16,4.871764194315509e-09
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,IX,1,local,6.379573810912339e-09,0.0013247896726901606
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,IY,1,local,-1.734017332061589e-09,0.00010521358315512572
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,IZ,1,local,-3.701241604661769e-10,0.00014062821498441868
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XI,1,local,6.479135085502236e-09,0.0013247835348382862
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XX,2,correlated,0.05845721479138188,0.00265213362979613
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XY,2,correlated,-5.117752471195669e-09,0.00014061869900206932
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XZ,2,correlated,1.5857795436314814e-09,0.00010519922586410915
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,YI,1,local,-4.258018760578452e-09,0.00010520539025454544
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,YX,2,correlated,-4.374262475834162e-09,0.0001406180518767772
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,YY,2,correlated,2.310055840596608e-09,1.128539705243692e-08
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,YZ,2,correlated,1.0059564801123474e-10,4.3273674589712594e-10
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,ZI,1,local,1.8506944888995047e-10,0.0001406294945685048
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,ZX,2,correlated,1.7578096159999917e-09,0.00010520678630480799
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,ZY,2,correlated,2.7713183023829996e-09,6.929504305074345e-09
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,ZZ,2,correlated,-4.798241603533359e-16,2.169704413097079e-09
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,IX,1,local,-1.941579529217241e-09,0.0015847204518836973
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,IY,1,local,2.5859201909636066e-09,0.00010726499426293818
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,IZ,1,local,3.1632914522542207e-10,0.00013858415175902212
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XI,1,local,1.0315346838112082e-08,0.0015847310601769863
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XX,2,correlated,0.0728304964221806,0.004226963679209137
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XY,2,correlated,3.927555856657508e-09,0.00013856389799737516
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XZ,2,correlated,3.774245952128309e-10,0.00010724910110160758
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,YI,1,local,-9.737607944569616e-10,0.00010727788793746178
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,YX,2,correlated,9.987497238053683e-09,0.00013856577840811184
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,YY,2,correlated,9.167724050671567e-11,2.415343091799352e-09
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,YZ,2,correlated,-1.400574211419827e-09,5.145826430680852e-10
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,ZI,1,local,2.9576525375288973e-10,0.0001385849165323641
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,ZX,2,correlated,-8.033885487958948e-10,0.00010723356224340763
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,ZY,2,correlated,-1.3288352324263822e-08,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,ZZ,2,correlated,-9.599318490017494e-16,1.0631374985437328e-08
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,IX,1,local,-6.004397287920888e-09,0.0005506084786575883
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,IY,1,local,2.926191299961128e-09,7.133683495611218e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,IZ,1,local,8.427697469804215e-11,0.00017449977760146713
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XI,1,local,1.3828757756247916e-09,0.000550611275765521
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XX,2,correlated,0.013736447028339389,0.00016386527935669193
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XY,2,correlated,4.308445887860059e-09,0.00017450344307439313
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XZ,2,correlated,-2.852032704678869e-09,7.132348635696853e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,YI,1,local,4.517219828248625e-09,7.133976566212255e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,YX,2,correlated,-5.368854903815391e-10,0.00017450278706094115
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,YY,2,correlated,-5.894589133106578e-09,2.2604993364210837e-09
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,YZ,2,correlated,-7.028150373043214e-09,0.0
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,ZI,1,local,4.740428733971178e-11,0.00017450025379900903
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,ZX,2,correlated,-2.8835085735023763e-09,7.13207354674547e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,ZY,2,correlated,-3.589730874589837e-09,0.0
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,ZZ,2,correlated,1.2421712521206583e-16,7.113531632447698e-09
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,IX,1,local,1.0846679517510993e-08,0.0010704254569091842
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,IY,1,local,5.386092245407848e-09,9.54030219456724e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,IZ,1,local,3.6160085530502834e-10,0.00015043619485647904
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XI,1,local,6.068784605535182e-09,0.0010704333394205763
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XX,2,correlated,0.02880627467169461,0.0006158910031808071
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XY,2,correlated,2.626645914980696e-09,0.00015042936564450842
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XZ,2,correlated,2.0693457093015124e-09,9.539528213653414e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,YI,1,local,-2.534531581110321e-09,9.54103777158078e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,YX,2,correlated,-4.741451268929992e-09,0.00015042890295126267
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,YY,2,correlated,3.335271884371626e-09,3.4629859372435786e-09
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,YZ,2,correlated,-2.1881122706642676e-09,0.0
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,ZI,1,local,-7.567167684142628e-10,0.00015043629350323357
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,ZX,2,correlated,9.479165212231954e-10,9.538829041401726e-05
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,ZY,2,correlated,1.089457612462076e-09,0.0
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,ZZ,2,correlated,-3.2747644707143887e-18,4.943264188175117e-09
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,IX,1,local,2.8861033918535912e-08,0.001566725304167278
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,IY,1,local,2.560460095039678e-09,0.0001019298001010783
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,IZ,1,local,2.5194294209897316e-10,0.000143913533121567
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XI,1,local,3.133300121929388e-08,0.0015667197327385255
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XX,2,correlated,0.043739865582729485,0.0014847122636456828
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XY,2,correlated,-3.063666841863846e-09,0.0001439121240354926
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XZ,2,correlated,4.675034961728953e-10,0.00010190896586515412
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,YI,1,local,-3.840851771216799e-09,0.00010192531593058432
