condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,h_XX_rad_per_gate,gamma_XX_per_gate,dominant_local_pauli,dominant_local_gamma_per_gate,dominant_correlated_pauli,dominant_correlated_gamma_per_gate,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_7418570e02de0b71,2.0,10.0,18.0,0.0,4.0,0.043739851954824924,0.0014847038078333232,XI,0.0015667337218965556,XX,0.0014847038078333232,0.005716079720911438,0.043417092445721346,0.0033831796318807704,0.24886265672203267,0.2474299674030362,0.02363770177892097,0.012340672440814987,5.9045121209543684e-15,1.986529867893523e-15,0.012340672426276532,1.0,1.7536547547733744e-08,1.1152192732720486e-16,6.351177697282153e-16
rates_7418570e02de0b71,3.0,10.0,18.0,0.0,4.0,0.058377285523671815,0.002723352969640072,XI,0.0020339646605560743,XX,0.002723352969640072,0.008613959107363912,0.057690089649530964,0.006084918692792245,0.33233928143153607,0.3302317956884322,0.03373239711330492,0.016077452653131125,5.670189144214686e-15,2.5725438969880757e-15,0.01607745263968288,5.0,-2.9591630722043446e-12,1.1148641618808393e-16,6.432853306960037e-12
rates_7418570e02de0b71,4.0,10.0,18.0,0.0,4.0,0.07271081777790803,0.004293112056780818,IX,0.002476205079248909,XX,0.004293112056780818,0.01201822304553506,0.07147520468093924,0.009472061246592051,0.41427413535275276,0.41131449853103363,0.04537293901163537,0.019614762957568088,6.1966279387555785e-15,2.8025548526112208e-15,0.01961476295556564,4.0,-1.3144695339519145e-12,1.1110622126659826e-16,2.876526967751806e-12
rates_8237b1a36457cbc1,0.01,10.0,18.0,3.3333333333333335,16.0,0.013736781655356873,0.00016385621572917084,XI,0.0006255194890082293,YX,0.0005145829166760273,0.003619981525493543,0.013683210044043442,0.000352463047198183,0.0799655766503001,0.0777069716814689,0.018316033834029202,0.00454344645628207,4.758430942728672e-15,2.6547814847523804e-15,0.004543446351826394,1.0,1.3993021430631714e-06,1.1102265540265013e-16,6.69686456299423e-16
rates_8237b1a36457cbc1,1.0,10.0,18.0,3.3333333333333335,16.0,0.028806563949894233,0.000615882118860514,XI,0.0011453657789345735,XX,0.000615882118860514,0.005314289611402146,0.02862417605984544,0.001440489528951264,0.16504243381269595,0.16295453369324456,0.024733287420967906,0.008549233941537625,4.98560088925738e-15,2.3979394780302464e-15,0.008549233918782168,1.0,1.7376190514187734e-06,1.111439995020892e-16,6.569911048809858e-16
rates_8237b1a36457cbc1,2.0,10.0,18.0,3.3333333333333335,16.0,0.04374012422876242,0.0014846941450179702,IX,0.0016416681689842337,XX,0.0014846941450179702,0.007645717086350779,0.04331184167597928,0.0033756360179961137,0.24993213687646004,0.24743150761710184,0.03298729818585772,0.012472379097788356,3.857331387610623e-15,2.194800406623158e-15,0.012472379069577271,1.0,1.8436656808108372e-06,1.5739592379537496e-16,6.871256463101621e-16
rates_8237b1a36457cbc1,3.0,10.0,18.0,3.3333333333333335,16.0,0.05837762107510594,0.0027233185353130384,XI,0.0021089124707336813,XX,0.0027233185353130384,0.010536495847203576,0.0575502136739884,0.006070856858817109,0.3333990905588509,0.3302336938540145,0.04287901833330404,0.01618798368463608,5.573185294358983e-15,2.2458450420089413e-15,0.016187983656899645,1.0,1.7457146145615044e-06,1.5702095576048983e-16,1.189476819276181e-15
rates_8237b1a36457cbc1,4.0,10.0,18.0,3.3333333333333335,16.0,0.07271112311185676,0.004293108011321961,XI,0.00255116623344429,XX,0.004293108011321961,0.013932471141230085,0.07130179008460161,0.009449854842418488,0.41535798674741464,0.4113162257606758,0.05433789066074278,0.01971327520731523,4.5110689263684555e-15,2.8357094498908163e-15,0.019713275202631712,1.0,1.8699625839477767e-06,3.369220193603767e-17,6.004523004907109e-16
rates_85cf44b10a0a8ca1,0.01,5.0,18.0,3.3333333333333335,4.0,0.013732521610271263,0.00016379082361508876,XI,0.00042864376935099885,XY,0.0001745059291376235,0.001751968028092943,0.0137069692950199,0.00035219447875622836,0.07821928393323503,0.07768287322736546,0.008536147274442569,0.00328051457520486,4.446792048171195e-15,2.023901668869677e-15,0.0032805145659720604,1.0,1.3840907174569983e-07,1.1105957779379828e-16,7.235939148138789e-16
rates_85cf44b10a0a8ca1,1.0,5.0,18.0,3.3333333333333335,4.0,0.028802247089589197,0.0006157369940520758,XI,0.0009508010245114587,XX,0.0006157369940520758,0.003454089682804629,0.028682871170842315,0.0014421790548198904,0.16381248812527274,0.16293011384368958,0.015267632568286704,0.007430253322381436,4.769654947126153e-15,2.738079611798994e-15,0.007430253317694417,1.0,1.3256398912128237e-07,1.1130412917589853e-16,4.2914211163251133e-16
