n_bar,row_pauli,column_pauli,component,is_diagonal,real,imag,abs
0.25,XX,YZ,"XX,YZ",False,1.760330050489295e-10,6.15645684510922e-10,6.403180676222389e-10
0.25,XX,ZI,"XX,ZI",False,3.2152588851455145e-10,-5.081418619212741e-11,3.255164796188358e-10
0.25,XX,ZX,"XX,ZX",False,1.231727746984455e-09,5.485243318082869e-09,5.621836666185186e-09
0.25,XX,ZY,"XX,ZY",False,3.0926228300850826e-10,3.180794259288522e-09,3.1957933724842807e-09
0.25,XX,ZZ,"XX,ZZ",False,-2.8808166139052127e-11,4.852952484313278e-10,4.861495537242829e-10
0.25,XY,XY,"XY,XY",True,0.0001639306734086618,1.4852523681032143e-17,0.0001639306734086618
0.25,XY,XZ,"XY,XZ",False,6.159223359608325e-09,-1.198908433654442e-10,6.1603901019227454e-09
0.25,XY,YI,"XY,YI",False,5.971513214402994e-10,-4.512393263137582e-10,7.484695253047983e-10
0.25,XY,YX,"XY,YX",False,-3.759192547525547e-09,-1.017660493370489e-17,3.759192547525547e-09
0.25,XY,YY,"XY,YY",False,7.878945434543275e-11,-3.455124832074663e-09,3.4560230588546454e-09
0.25,XY,YZ,"XY,YZ",False,1.1810571354951452e-09,3.9622185931643647e-10,1.245747855348012e-09
0.25,XY,ZI,"XY,ZI",False,7.692495217204165e-10,2.5866881878632e-13,7.692495652105676e-10
0.25,XY,ZX,"XY,ZX",False,-3.1801011625214756e-10,-3.1622998594925097e-09,3.1782496496318618e-09
0.25,XY,ZY,"XY,ZY",False,3.0399775138015984e-10,-2.0295565173761664e-08,2.029784176594279e-08
0.25,XY,ZZ,"XY,ZZ",False,-2.203852829396613e-10,-2.9297652869822617e-10,3.6661276478657577e-10
0.25,XZ,XZ,"XZ,XZ",True,8.164711736062644e-05,-1.131171386397815e-18,8.164711736062644e-05
0.25,XZ,YI,"XZ,YI",False,2.3483699536187546e-17,2.564889950135271e-09,2.564889950135271e-09
0.25,XZ,YX,"XZ,YX",False,-4.5123935677865205e-10,5.971513134296119e-10,7.484695372803907e-10
0.25,XZ,YY,"XZ,YY",False,6.118297375689792e-10,3.1225934044162663e-10,6.869072160537881e-10
0.25,XZ,YZ,"XZ,YZ",False,6.316023737183876e-12,2.8862512235021376e-09,2.886258134215205e-09
0.25,XZ,ZI,"XZ,ZI",False,-3.161782562757356e-09,-3.180101504996699e-10,3.177734952757592e-09
0.25,XZ,ZX,"XZ,ZX",False,-2.5861062423471193e-13,-1.332292336366235e-10,1.3322948463030615e-10
0.25,XZ,ZY,"XZ,ZY",False,-1.3642261869699606e-10,-8.622042268650399e-10,8.729302719668319e-10
0.25,XZ,ZZ,"XZ,ZZ",False,2.648758820221205e-10,2.0380670650764723e-08,2.0382391798015745e-08
0.25,YI,YI,"YI,YI",True,8.166119662678391e-05,3.689800598870534e-18,8.166119662678391e-05
0.25,YI,YX,"YI,YX",False,1.5943494693293663e-09,-4.6507533649293905e-09,4.916447608970615e-09
0.25,YI,YY,"YI,YY",False,-2.0270455450406863e-08,-1.1996774719551634e-09,2.0305925002413606e-08
0.25,YI,YZ,"YI,YZ",False,1.7860564255459165e-09,-2.9215322946092005e-11,1.7862953536100072e-09
0.25,YI,ZI,"YI,ZI",False,7.465238459365313e-09,-1.1535623654216263e-09,7.553839512863914e-09
0.25,YI,ZX,"YI,ZX",False,4.475968353400251e-05,8.095637941045263e-09,4.475968426612736e-05
0.25,YI,ZY,"YI,ZY",False,-1.9619723741766512e-09,1.1309503002644077e-10,1.9652292697924704e-09
0.25,YI,ZZ,"YI,ZZ",False,-4.224575961705023e-10,2.077138355999357e-09,2.119663692788521e-09
0.25,YX,YX,"YX,YX",True,0.00016393074116050066,2.4551333086147232e-17,0.00016393074116050066
0.25,YX,YY,"YX,YY",False,-2.4599090562106793e-10,6.032434413105747e-10,6.514707784179564e-10
0.25,YX,YZ,"YX,YZ",False,-1.1896223824516973e-09,-2.048723108029044e-08,2.0521740636457926e-08
0.25,YX,ZI,"YX,ZI",False,-5.622201456836635e-05,-8.095638037959383e-09,5.6222015151228374e-05
0.25,YX,ZX,"YX,ZX",False,7.436879844852376e-09,1.1535622774806338e-09,7.52581475687502e-09
