n_bar,channel,row,col,row_pauli,col_pauli,delta_real,delta_imag,delta_abs,baseline_abs,optimized_abs
4.0,post_gate_error,9,9,YX,YX,2.314865659665971e-05,-1.0920995843245464e-17,2.314865659665971e-05,0.00013828222456774067,0.00016143088116440038
4.0,post_gate_error,6,6,XY,XY,2.3148301815403252e-05,-2.3219240849633908e-18,2.3148301815403252e-05,0.00013828058079250018,0.00016142888260790343
4.0,post_gate_error,8,8,YI,YI,1.8857799243406672e-05,9.335857483165275e-18,1.8857799243406672e-05,0.000107303412232731,0.00012616121147613767
4.0,post_gate_error,2,2,IY,IY,1.884450896736818e-05,3.109193906032008e-17,1.884450896736818e-05,0.00010731274966053697,0.00012615725862790515
4.0,post_gate_error,7,7,XZ,XZ,1.8778008249861462e-05,9.313028604679462e-18,1.8778008249861462e-05,0.00010722811330209905,0.0001260061215519605
4.0,post_gate_error,13,13,ZX,ZX,1.8766078213376235e-05,3.653577864899517e-17,1.8766078213376235e-05,0.00010723779613031791,0.00012600387434369415
4.0,post_gate_error,3,6,IZ,XY,-1.0718656758144276e-05,-7.42383524961379e-10,1.0718656783853342e-05,6.0198564082745454e-05,7.091722083522535e-05
4.0,post_gate_error,6,3,XY,IZ,-1.071865675814254e-05,7.423835341498916e-10,1.0718656783851607e-05,6.019856408274719e-05,7.091722083522535e-05
4.0,post_gate_error,9,12,YX,ZI,-1.0713527814469991e-05,6.608687298028464e-11,1.0713527814673821e-05,6.019417485851197e-05,7.090770267081734e-05
4.0,post_gate_error,12,9,ZI,YX,-1.0713527814464787e-05,-6.608684934477778e-11,1.0713527814668617e-05,6.0194174858499824e-05,7.09077026708e-05
