noise_source,noise_title,nbar,matrix_family,through_origin_relative_fit_residual,slope_frobenius_norm_per_nominal_multiplier,max_point_relative_deviation
photon_scattering,Photon scattering,3.0,H_sector,0.21033251483086648,3.692014630238093e-07,0.5566614443744008
photon_scattering,Photon scattering,3.0,S_sector,2.3870046845880097e-05,0.002952924095586404,0.00015372391020684005
photon_scattering,Photon scattering,3.0,C_sector,0.0004144821616105006,0.00042921465440825824,0.002593850496256493
photon_scattering,Photon scattering,3.0,A_sector,0.5399969598396518,2.2540654350974102e-07,0.8782383004077348
photon_scattering,Photon scattering,4.0,full_generator,0.0001120757742118075,0.0029860701773958124,0.00047901610326645596
photon_scattering,Photon scattering,4.0,stochastic_SC_matrix,0.000199829127409654,0.00025947755718911986,0.0007824135600796725
photon_scattering,Photon scattering,4.0,H_sector,0.4310259629557331,3.037550202818305e-07,1.6032783285712293
photon_scattering,Photon scattering,4.0,S_sector,3.272242356653041e-05,0.002952357506632405,0.00012208047728111106
photon_scattering,Photon scattering,4.0,C_sector,0.00045773834099011555,0.0004474373088187178,0.0018841506708858887
photon_scattering,Photon scattering,4.0,A_sector,0.8163433759958376,1.410215977897665e-07,0.9172950459474193
